hour,ambient_temp,battery_temp,soc,energy,efficiency
157,32.99776798060769,33.17774566041377,0.9,0.0,0.9100111600969615
158,34.03099442343223,34.221304367666555,0.9,0.0,0.9048450278828388
159,32.39094171355348,32.564851130689014,0.9,0.0,0.9130452914322326
160,31.324584217432403,31.487830059606726,0.9,0.0,0.9183770789128379
161,32.9095995930157,33.08869558894585,0.9,0.0,0.9104520020349215
162,31.156050892296605,31.317611401219573,0.9,0.0,0.9192197455385169
163,30.283356871336405,30.43619044004977,0.9,0.0,0.9235832156433179
164,28.03559365448953,28.165949591034426,0.9,0.0,0.9348220317275523
165,26.42245332719964,26.536677860471638,0.9,0.0,0.9428877333640018
166,26.25795535133567,26.370534904849027,0.9,0.0,0.9437102232433217
167,26.795281765044525,26.91323458269497,0.9,0.0,0.9410235911747773
168,26.476522264266475,26.59128748690914,0.9,0.0,0.9426173886786676
169,25.485963604043157,25.590823240083587,0.9,0.0,0.9475701819797842
170,26.18511097659855,26.296962086364537,0.9,0.0,0.9440744451170072
171,26.935223343069637,27.054575576500334,0.9,0.0,0.9403238832846518
172,26.0605082325445,26.171113314869945,0.9,0.0,0.9446974588372774
173,28.98223609657529,29.12205845754104,0.9,0.0,0.9300888195171235
174,28.198869604341184,28.330858300384595,0.9,0.0,0.934005651978294
175,29.32271584657539,29.465943005041147,0.9,0.0,0.928386420767123
176,30.134951129875,30.28630064117375,0.9,0.0,0.9243252443506249
177,32.57015268277167,32.745854209599386,0.9,0.0,0.9121492365861416
178,32.20811640610973,32.38019757017083,0.9,0.0,0.9139594179694513
179,32.2549270980053,32.42747636898535,0.9,0.0,0.9137253645099734
180,33.19167518212551,33.37359193394676,0.9,0.0,0.9090416240893724
181,31.977151484274746,32.14692299911749,0.9,0.0,0.9151142425786263
182,32.40239224054818,32.57641616295366,0.9,0.0,0.9129880387972591
183,32.18202092137972,32.353841130593516,0.9,0.0,0.9140898953931014
184,31.96026299832273,32.12986562830596,0.9,0.0,0.9151986850083863
185,31.5476520258807,31.713128546139508,0.9,0.0,0.9172617398705964
186,31.2532757793352,31.415808537128555,0.9,0.0,0.9187336211033239
187,29.470263098622446,29.61496572960867,0.9,0.0,0.9276486845068878
188,29.311871269923262,29.454989982622497,0.9,0.0,0.9284406436503836
189,27.64998060834222,27.77648041442564,0.9,0.0,0.9367500969582888
190,27.55617395528263,27.681735694835456,0.9,0.0,0.9372191302235868
191,26.9468820608367,27.066350881445068,0.9,0.0,0.9402655896958164
192,26.42340250694839,26.53763653201787,0.9,0.0,0.942882987465258
193,25.96963464427156,26.079330990714276,0.9,0.0,0.9451518267786422
194,26.10357245129856,26.214608175811545,0.9,0.0,0.9444821377435072
195,25.58965449713497,25.69555104210632,0.9,0.0,0.9470517275143251
196,25.81628795192881,25.924450831448098,0.9,0.0,0.9459185602403559
197,26.98880101074168,27.108689020849095,0.9,0.0,0.9400559949462916
198,27.663105297812724,27.78973635079085,0.9,0.0,0.9366844735109363
199,29.655239932512057,29.801792331837177,0.9,0.0,0.9267238003374396
200,30.43563208982119,30.589988410719403,0.9,0.0,0.922821839550894
201,30.798435991738703,30.95642035165609,0.9,0.0,0.9210078200413064
202,33.37548312723842,33.5592379585108,0.9,0.0,0.9081225843638079
203,31.359807770513143,31.523405848218275,0.9,0.0,0.9182009611474342
204,34.58524600429143,34.78109846433434,0.9,0.0,0.9020737699785428
205,33.33982439430659,33.523222638249656,0.9,0.0,0.908300878028467
206,31.637761804416574,31.80413942246074,0.9,0.0,0.9168111909779171
207,30.593358189458435,30.74929177135302,0.9,0.0,0.9220332090527078
208,31.760318902702725,31.92792209172975,0.9,0.0,0.9161984054864863
209,30.046606993430075,30.197073063364375,0.9,0.0,0.9247669650328496
210,30.279746669305407,30.432544135998462,0.9,0.0,0.923601266653473
211,26.99606197366699,27.11602259340366,0.9,0.0,0.940019690131665
212,29.63880218238306,29.78519020420689,0.9,0.0,0.9268059890880846
213,26.917557981218703,27.03673356103089,0.9,0.0,0.9404122100939064
214,26.150362003576795,26.261865623612564,0.9,0.0,0.944248189982116
215,24.94708592699603,25.047085926996033,0.9,0.0,0.95
216,27.2350044159758,27.35735446013556,0.9,0.0,0.938824977920121
217,27.032964058848226,27.15329369943671,0.9,0.0,0.9398351797057588
218,26.855533178014287,26.97408850979443,0.9,0.0,0.9407223341099286
219,26.40060805577959,26.514614136337386,0.9,0.0,0.942996959721102
220,27.194714421297657,27.316661565510636,0.9,0.0,0.9390264278935117
221,28.253339247268737,28.385872639741425,0.9,0.0,0.9337333037636563
222,29.286129929267087,29.42899122855976,0.9,0.0,0.9285693503536645
223,27.933816342184176,28.06315450560602,0.9,0.0,0.9353309182890791
224,28.65861808672117,28.79520426758838,0.9,0.0,0.9317069095663941
225,29.9912450688653,30.141157519553953,0.9,0.0,0.9250437746556734
226,30.68051693615261,30.837322105514136,0.9,0.0,0.9215974153192369
227,32.16731924574118,32.338992438198595,0.9,0.0,0.914163403771294
228,31.55471228988692,31.720259412785786,0.9,0.0,0.9172264385505654
229,32.45992957526039,32.634528871012996,0.9,0.0,0.912700352123698
230,34.177303435278624,34.36907646963141,0.9,0.0,0.9041134828236068
231,33.77260030772083,33.96032631079804,0.9,0.0,0.9061369984613958
232,32.35864165772373,32.53222807430097,0.9,0.0,0.9132067917113813
233,30.43669063332729,30.591057539660564,0.9,0.0,0.9228165468333634
234,30.763292620124737,30.920925546325986,0.9,0.0,0.9211835368993763
235,30.277432563786288,30.430206889424152,0.9,0.0,0.9236128371810686
236,26.57224376336637,26.687966201000034,0.9,0.0,0.9421387811831681
237,27.7586379616323,27.88622434124862,0.9,0.0,0.9362068101918385
238,27.213837026971213,27.335975397240926,0.9,0.0,0.9389308148651438
239,26.270547389555723,26.38325286345128,0.9,0.0,0.9436472630522214
240,27.72050596903565,27.847711028726007,0.9,0.0,0.9363974701548217
241,26.84625730246092,26.964719875485528,0.9,0.0,0.9407687134876953
242,26.50798516012761,26.623065011728887,0.9,0.0,0.942460074199362
243,27.847418368969556,27.975892552659253,0.9,0.0,0.9357629081551522
244,28.278019796117363,28.410799994078538,0.9,0.0,0.9336099010194131
245,29.364556803465465,29.50820237150012,0.9,0.0,0.9281772159826727
246,29.97025370571428,30.119956242771423,0.9,0.0,0.9251487314714285
247,29.16999448895145,29.311694433840962,0.9,0.0,0.9291500275552427
248,31.677855986811352,31.844634546679465,0.9,0.0,0.9166107200659432
249,29.44094080494368,29.585350212993117,0.9,0.0,0.9277952959752815
250,30.958950435878904,31.118539940237692,0.9,0.0,0.9202052478206054
251,33.95539349662559,34.144947431591845,0.9,0.0,0.905223032516872
252,31.602543551429832,31.768568986944132,0.9,0.0,0.9169872822428508
253,32.139087593070336,32.31047846900104,0.9,0.0,0.9143045620346483
254,34.89669439060797,35.09566133451405,0.9,0.0,0.9005165280469601
255,30.92383700241545,31.083075372439605,0.9,0.0,0.9203808149879227
256,31.057307912152183,31.217880991273706,0.9,0.0,0.9197134604392391
257,31.84595025032809,32.01440975283137,0.9,0.0,0.9157702487483595
258,31.078379166468395,31.23916295813308,0.9,0.0,0.919608104167658
259,28.37081817678781,28.50452635855569,0.9,0.0,0.9331459091160609
260,28.07118916676285,28.20190105843048,0.9,0.0,0.9346440541661857
261,28.58127660626757,28.717089372330243,0.9,0.0,0.9320936169686621
262,27.155091187276494,27.27664209914926,0.9,0.0,0.9392245440636174
263,28.69799679312882,28.83497676106011,0.9,0.0,0.9315100160343559
264,25.18441110458059,25.286255215626397,0.9,0.0,0.949077944477097
265,25.11850077206567,25.219685779786325,0.9,0.0,0.9494074961396716
266,23.858261804260373,23.958261804260374,0.9,0.0,0.95
267,27.95978447841184,28.08938232319596,0.9,0.0,0.9352010776079408
268,27.50528975624373,27.630342653806167,0.9,0.0,0.9374735512187813
269,26.660964474977373,26.777574119727145,0.9,0.0,0.9416951776251131
270,28.218449810274507,28.350634308377252,0.9,0.0,0.9339077509486274
271,28.627939536040703,28.76421893140111,0.9,0.0,0.9318603023197964
